vehicle,initial,final,times,dates,differences
Sedan,19,24,NA,NA,-5
Suv,27,27,NA,NA,0
Sedan,NA,16,04:25,4/7/2025,NA
Sedan,NA,28,04:27,4/7/2025,NA
Pickup Truck,NA,29,04:28,4/7/2025,NA
Suv,NA,25,04:29,4/7/2025,NA
Sedan,NA,21,04:30,4/7/2025,NA
Suv,NA,16,04:31,4/7/2025,NA
Suv,NA,20,04:31,4/7/2025,NA
Sedan,NA,27,04:34,4/7/2025,NA
Suv,NA,18,04:35,4/7/2025,NA
Sedan,NA,20,04:36,4/7/2025,NA
Suv,NA,20,04:36,4/7/2025,NA
Sedan,NA,21,04:36,4/7/2025,NA
Suv,NA,28,04:36,4/7/2025,NA
Sedan,NA,21,04:37,4/7/2025,NA
Suv,NA,29,04:39,4/7/2025,NA
Suv,NA,25,04:40,4/7/2025,NA
Suv,NA,28,04:40,4/7/2025,NA
Sedan,NA,23,04:42,4/7/2025,NA
Suv,NA,23,04:43,4/7/2025,NA
Suv,NA,22,04:44,4/7/2025,NA
Suv,NA,20,04:45,4/7/2025,NA
Sedan,NA,24,04:45,4/7/2025,NA
Suv,NA,15,04:46,4/7/2025,NA
Suv,NA,31,04:47,4/7/2025,NA
Suv,NA,19,04:48,4/7/2025,NA
Sedan,NA,26,04:49,4/10/2025,NA
Suv,NA,18,04:50,4/10/2025,NA
Pickup Truck,NA,23,04:51,4/10/2025,NA
Suv,NA,17,04:52,4/10/2025,NA
Sedan,NA,22,04:53,4/10/2025,NA
Sedan,NA,19,04:54,4/10/2025,NA
Suv,NA,16,04:55,4/10/2025,NA
Sedan,NA,27,04:56,4/10/2025,NA
Suv,NA,29,04:57,4/10/2025,NA
Sedan,NA,21,04:58,4/10/2025,NA
Suv,NA,20,04:59,4/10/2025,NA
Pickup Truck,NA,30,05:00,4/10/2025,NA
Sedan,NA,24,05:01,4/10/2025,NA
Suv,NA,18,05:02,4/10/2025,NA
Suv,NA,20,05:03,4/10/2025,NA
Sedan,NA,22,05:04,4/10/2025,NA
Sedan,NA,16,05:05,4/10/2025,NA
Suv,NA,25,05:06,4/10/2025,NA
Sedan,NA,29,05:07,4/10/2025,NA
Suv,NA,19,05:08,4/10/2025,NA
Sedan,NA,20,05:09,4/10/2025,NA
Suv,NA,28,05:10,4/10/2025,NA
Suv,NA,17,05:11,4/10/2025,NA
Suv,NA,26,05:12,4/10/2025,NA
Sedan,NA,21,05:13,4/10/2025,NA
Suv,NA,15,05:14,4/10/2025,NA
Sedan,NA,24,05:15,4/10/2025,NA
Suv,NA,25,05:16,4/10/2025,NA
Suv,NA,19,05:17,4/10/2025,NA
Pickup Truck,NA,23,05:18,4/10/2025,NA
Sedan,NA,20,05:19,4/10/2025,NA
Suv,NA,21,05:20,4/10/2025,NA
Sedan,NA,22,05:21,4/10/2025,NA
Suv,NA,18,05:22,4/10/2025,NA
Suv,NA,30,05:23,4/10/2025,NA
Suv,NA,27,05:24,4/10/2025,NA
Sedan,NA,16,05:25,4/10/2025,NA
Suv,NA,28,05:26,4/10/2025,NA
Suv,NA,24,05:27,4/10/2025,NA
Sedan,NA,20,05:28,4/10/2025,NA
Suv,NA,22,05:29,4/10/2025,NA
Sedan,NA,21,05:30,4/10/2025,NA
Suv,NA,19,05:31,4/10/2025,NA
Sedan,NA,26,05:32,4/10/2025,NA
Sedan,NA,20,05:33,4/10/2025,NA
Suv,NA,23,05:34,4/10/2025,NA
Suv,NA,18,05:35,4/10/2025,NA
Pickup Truck,NA,27,05:36,4/10/2025,NA
Sedan,NA,25,05:37,4/10/2025,NA
Suv,NA,20,05:40,4/10/2025,NA
Suv,NA,10,02:54,4/7/2025,NA
Suv,NA,20,02:54,4/7/2025,NA
Suv,NA,14,02:55,4/7/2025,NA
Suv,NA,28,02:55,4/7/2025,NA
Pickup Truck,NA,25,02:56,4/7/2025,NA
Sedan,NA,16,02:57,4/7/2025,NA
Suv,NA,25,02:57,4/7/2025,NA
Pickup Truck,NA,31,02:58,4/7/2025,NA
Suv,NA,31,02:58,4/7/2025,NA
Suv,NA,16,02:59,4/7/2025,NA
Suv,NA,25,02:59,4/7/2025,NA
Suv,NA,12,03:00,4/7/2025,NA
Suv,NA,12,03:00,4/7/2025,NA
Sedan,NA,30,03:00,4/7/2025,NA
Suv,NA,30,03:01,4/7/2025,NA
Suv,NA,29,03:01,4/7/2025,NA
Suv,NA,34,03:02,4/7/2025,NA
Suv,NA,25,03:02,4/7/2025,NA
Pickup Truck,NA,25,03:03,4/7/2025,NA
Suv,NA,33,03:03,4/7/2025,NA
Pickup Truck,NA,31,03:04,4/7/2025,NA
Pickup Truck,NA,29,03:04,4/7/2025,NA
Sedan,NA,33,03:04,4/7/2025,NA
Suv,NA,19,03:05,4/7/2025,NA
Suv,NA,32,03:05,4/7/2025,NA
Sedan,NA,19,05:49,4/14/2025,NA
Suv,NA,26,05:49,4/14/2025,NA
Sedan,NA,14,05:50,4/14/2025,NA
Suv,NA,22,05:50,4/14/2025,NA
Suv,NA,17,05:51,4/14/2025,NA
Pickup Truck,NA,29,05:52,4/14/2025,NA
Suv,NA,33,05:52,4/14/2025,NA
Suv,NA,12,05:53,4/14/2025,NA
Pickup Truck,NA,27,05:53,4/14/2025,NA
Suv,NA,25,05:54,4/14/2025,NA
Suv,NA,18,05:55,4/14/2025,NA
Sedan,NA,31,05:55,4/14/2025,NA
Suv,NA,24,05:56,4/14/2025,NA
Suv,NA,16,05:56,4/14/2025,NA
Pickup Truck,NA,22,05:57,4/14/2025,NA
Suv,NA,13,05:57,4/14/2025,NA
Suv,NA,30,05:58,4/14/2025,NA
Suv,NA,21,05:59,4/14/2025,NA
Suv,NA,25,05:59,4/14/2025,NA
Suv,NA,19,06:00,4/14/2025,NA
Sedan,NA,27,06:00,4/14/2025,NA
Suv,NA,23,06:01,4/14/2025,NA
Pickup Truck,NA,31,06:01,4/14/2025,NA
Suv,NA,28,06:02,4/14/2025,NA
Suv,NA,20,06:02,4/14/2025,NA
Suv,NA,16,06:03,4/14/2025,NA
Pickup Truck,NA,35,06:04,4/14/2025,NA
Suv,NA,18,06:04,4/14/2025,NA
Suv,NA,22,06:05,4/14/2025,NA
Suv,NA,24,06:05,4/14/2025,NA
Sedan,NA,29,06:06,4/14/2025,NA
Sedan,NA,13,06:06,4/14/2025,NA
Suv,NA,21,06:07,4/14/2025,NA
Suv,NA,34,06:07,4/14/2025,NA
Suv,NA,32,06:08,4/14/2025,NA
Pickup Truck,NA,15,06:08,4/14/2025,NA
Suv,NA,17,06:09,4/14/2025,NA
Suv,NA,26,06:10,4/14/2025,NA
Suv,NA,18,06:10,4/14/2025,NA
Sedan,NA,30,06:11,4/14/2025,NA
Sedan,NA,14,06:11,4/14/2025,NA
Pickup Truck,NA,33,06:12,4/14/2025,NA
Pickup Truck,NA,19,06:12,4/14/2025,NA
Suv,NA,22,06:13,4/14/2025,NA
Suv,NA,16,06:13,4/14/2025,NA
Suv,NA,24,06:14,4/14/2025,NA
Suv,NA,27,06:14,4/14/2025,NA
Suv,NA,28,06:15,4/14/2025,NA
Suv,NA,31,06:15,4/14/2025,NA
Sedan,NA,20,06:16,4/14/2025,NA
Hatchback,NA,30,07:11,4/3/2025,NA
Sedan,NA,24,07:11,4/3/2025,NA
Suv,NA,33,07:12,4/3/2025,NA
Muscle Car,NA,31,07:12,4/3/2025,NA
Sedan,NA,27,07:13,4/3/2025,NA
Pickup Truck,NA,24,07:13,4/3/2025,NA
Suv,NA,21,07:14,4/3/2025,NA
Sedan,NA,35,07:14,4/3/2025,NA
Suv,NA,17,07:15,4/3/2025,NA
Suv,NA,20,07:16,4/3/2025,NA
Suv,NA,31,07:16,4/3/2025,NA
Suv,NA,35,07:17,4/3/2025,NA
Coupe,NA,21,07:17,4/3/2025,NA
Sedan,NA,31,07:18,4/3/2025,NA
Suv,NA,24,07:18,4/3/2025,NA
Suv,NA,11,07:18,4/3/2025,NA
Minivan,NA,21,07:19,4/3/2025,NA
Crossover,NA,27,07:20,4/3/2025,NA
Suv,NA,31,07:20,4/3/2025,NA
Suv,NA,27,07:20,4/3/2025,NA
Pickup Truck,NA,27,07:21,4/3/2025,NA
Suv,NA,26,07:21,4/3/2025,NA
Suv,NA,37,07:21,4/3/2025,NA
Sedan,NA,26,07:21,4/3/2025,NA
Pickup Truck,NA,27,07:22,4/3/2025,NA
Sedan,NA,30,07:22,4/3/2025,NA
Hatchback,NA,32,07:22,4/3/2025,NA
Suv,NA,34,07:23,4/3/2025,NA
Pickup Truck,NA,29,07:23,4/3/2025,NA
Hatchback,NA,32,07:24,4/3/2025,NA
Sedan,NA,34,07:24,4/3/2025,NA
Sedan,NA,19,07:24,4/3/2025,NA
Sedan,NA,31,07:26,4/3/2025,NA
Suv,NA,13,07:26,4/3/2025,NA
Hatchback,NA,29,07:27,4/3/2025,NA
Suv,NA,31,07:27,4/3/2025,NA
Pickup Truck,NA,28,07:27,4/3/2025,NA
Hatchback,NA,23,07:27,4/3/2025,NA
Sedan,NA,38,07:28,4/3/2025,NA
Suv,NA,34,07:29,4/3/2025,NA
Minivan,NA,33,07:29,4/3/2025,NA
Sedan,NA,27,07:29,4/3/2025,NA
Sedan,NA,34,07:29,4/3/2025,NA
Suv,NA,29,07:30,4/3/2025,NA
Suv,NA,29,07:30,4/3/2025,NA
Sedan,NA,27,07:31,4/3/2025,NA
Sedan,NA,19,07:31,4/3/2025,NA
Sedan,NA,26,07:31,4/3/2025,NA
Suv,NA,22,07:31,4/3/2025,NA
Suv,NA,29,07:32,4/3/2025,NA
Suv,NA,29,07:33,4/3/2025,NA
